iter	Passed	Remaining
0	146	146049
1	148	73897
2	149	49716
3	150	37589
4	152	30408
5	154	25652
6	156	22192
7	157	19564
8	159	17512
9	160	15898
10	162	14572
11	163	13472
12	165	12535
13	166	11746
14	167	11029
15	169	10433
16	171	9904
17	172	9425
18	173	8972
19	174	8560
20	175	8190
21	176	7845
22	177	7535
23	178	7246
24	179	6987
25	179	6742
26	180	6513
27	181	6304
28	182	6109
29	183	5940
30	185	5788
31	186	5632
32	187	5487
33	188	5348
34	189	5218
35	190	5094
36	191	4979
37	192	4869
38	193	4761
39	193	4655
40	194	4559
41	195	4468
42	197	4391
43	199	4323
44	199	4243
45	201	4168
46	201	4094
47	202	4024
48	204	3959
49	204	3891
50	205	3829
51	206	3764
52	207	3705
53	208	3647
54	209	3594
55	210	3542
56	211	3496
57	212	3449
58	213	3407
59	214	3362
60	215	3320
61	216	3275
62	217	3233
63	218	3189
64	219	3150
65	219	3112
66	220	3076
67	221	3040
68	222	3005
69	223	2970
70	224	2938
71	225	2905
72	226	2874
73	227	2845
74	228	2816
75	229	2787
76	229	2756
77	231	2730
78	231	2703
79	232	2677
80	233	2651
81	234	2625
82	234	2595
83	235	2571
84	236	2549
85	237	2528
86	238	2506
87	239	2484
88	240	2462
89	241	2443
90	242	2423
91	243	2403
92	244	2384
93	245	2364
94	246	2344
95	246	2325
96	247	2307
97	248	2288
98	249	2270
99	250	2253
100	251	2235
101	252	2219
102	253	2203
103	253	2187
104	254	2171
105	255	2158
106	256	2144
107	257	2129
108	258	2115
109	259	2101
110	260	2087
111	261	2073
112	262	2060
113	263	2046
114	264	2033
115	265	2019
116	265	2004
117	266	1991
118	267	1978
119	268	1966
120	269	1954
121	269	1941
122	270	1929
123	271	1917
124	272	1907
125	273	1896
126	274	1884
127	275	1873
128	275	1863
129	276	1852
130	277	1842
131	278	1831
132	279	1820
133	280	1810
134	281	1801
135	282	1792
136	283	1782
137	284	1774
138	284	1765
139	285	1756
140	286	1747
141	287	1736
142	288	1728
143	289	1720
144	290	1711
145	291	1703
146	291	1694
147	292	1686
148	294	1679
149	294	1671
150	295	1663
151	296	1654
152	297	1646
153	298	1639
154	299	1631
155	300	1625
156	301	1617
157	302	1610
158	303	1603
159	304	1596
160	304	1587
161	305	1580
162	306	1573
163	307	1567
164	308	1560
165	309	1553
166	310	1546
167	311	1540
168	311	1533
169	312	1527
170	313	1520
171	314	1513
172	315	1507
173	316	1501
174	317	1496
175	318	1490
176	319	1484
177	320	1478
178	320	1471
179	321	1464
180	322	1459
181	323	1453
182	324	1447
183	325	1441
184	326	1436
185	326	1430
186	327	1424
187	328	1419
188	329	1414
189	330	1409
190	331	1403
191	332	1398
192	333	1393
193	334	1388
194	335	1383
195	335	1378
196	336	1373
197	337	1369
198	338	1364
199	339	1359
200	340	1354
201	341	1349
202	342	1345
203	343	1340
204	344	1335
205	345	1331
206	346	1326
207	347	1322
208	348	1317
209	348	1312
210	349	1308
211	350	1304
212	351	1299
213	352	1295
214	353	1290
215	354	1287
216	355	1282
217	356	1278
218	357	1274
219	358	1269
220	359	1265
221	360	1262
222	361	1258
223	362	1254
224	362	1250
225	363	1246
226	364	1242
227	365	1238
228	366	1234
229	367	1230
230	368	1226
231	369	1222
232	370	1219
233	371	1215
234	372	1211
235	373	1207
236	374	1204
237	375	1201
238	376	1197
239	377	1194
240	378	1190
241	378	1186
242	380	1185
243	381	1183
244	382	1179
245	383	1176
246	384	1173
247	385	1170
248	387	1167
249	387	1163
250	388	1160
251	389	1157
252	390	1154
253	391	1150
254	392	1148
255	394	1146
256	395	1143
257	396	1141
258	397	1137
259	398	1134
260	399	1131
261	400	1127
262	401	1125
263	402	1122
264	403	1118
265	404	1116
266	405	1114
